,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip
0,Royal,Royal Enfield Continental GT 650cc ,"2,95,000",mumbai, 650cc,2019,petrol,"4,200"
1,Harley-Davidson,Harley-Davidson Street 750 ,"3,20,000",hyderabad, 750,2015,petrol,"35,900"
2,Royal,Royal Enfield Interceptor 650cc ,"3,10,000",hyderabad, 650cc,2022,petrol,"7,050"
3,BMW,BMW G310 RR Standard ,"3,10,000",hyderabad,,2023,petrol,"6,900"
4,Royal,Royal Enfield Continental GT 650cc ,"3,40,000",mumbai, 650cc,2020,petrol,"13,000"
5,Benelli,Benelli TNT 300 ,"2,35,000",bangalore, 300,2018,petrol,"10,200"
6,BMW,BMW F900R ,"8,50,000",mumbai,,2020,petrol,"12,700"
7,BMW,BMW F900XR ,"10,50,000",mumbai,,2020,petrol,"8,094"
8,Benelli,Benelli 302R 300CC ,"2,90,000",mumbai, 302,2019,petrol,"2,455"
9,Harley-Davidson,Harley-Davidson Street 750 ABS ,"4,52,000",bangalore, 750 ABS,2020,petrol,"1,549"
10,Triumph,Triumph Speed 400 STD ,"2,84,000",bangalore, 400,2023,petrol,"2,300"
11,Kawasaki,Kawasaki Ninja 300 BS6 ,"3,58,000",mumbai, 300,2021,petrol,"8,800"
12,Royal,Royal Enfield Continental GT 650cc ,"3,10,000",mumbai, 650cc,2019,petrol,"5,100"
13,Kawasaki,Kawasaki Versys 650cc ,"6,55,000",mumbai, 650cc,2019,petrol,"2,900"
14,Kawasaki,Kawasaki Ninja 650cc ,"5,95,000",mumbai, 650cc,2020,petrol,"3,75"
15,Royal,Royal Enfield Continental GT 650cc ,"3,75,000",mumbai, 650cc,2022,petrol,"13,000"
16,Royal,Royal Enfield Continental GT 650cc ,"2,80,000",bangalore, 650cc,2019,petrol,"3,000"
17,Royal,Royal Enfield Continental GT 650cc ,"3,72,000",mumbai, 650cc,2022,petrol,"6,200"
18,BMW,BMW G 310 R BS6 ,"2,87,000",mumbai, 310 R,2021,petrol,"5,400"
19,Royal,Royal Enfield Interceptor 650cc ,"3,55,000",mumbai, 650cc,2022,petrol,"2,900"
20,Harley-Davidson,Harley-Davidson Street Rod ,"10,90,000",mumbai,,2019,petrol,"14,236"
21,Royal,Royal Enfield Continental GT 650cc ,"3,02,000",hyderabad, 650cc,2022,petrol,"4,000"
22,Royal,Royal Enfield Interceptor 650cc BS6 ,"3,20,000",bangalore, 650cc,2021,petrol,"25,569"
23,Benelli,Benelli TNT 300 ABS ,"2,62,000",bangalore, 300 ABS,2019,petrol,"14,000"
24,Kawasaki,Kawasaki Ninja 1000 ,"9,40,000",, 100,2019,petrol,"7,900"
25,Harley-Davidson,Harley-Davidson Superlow ,"3,60,000",mumbai,,2012,petrol,"13,500"
26,Royal,Royal Enfield Interceptor 650cc ,"2,80,000",mumbai, 650cc,2019,petrol,"5,600"
27,Harley-Davidson,Harley-Davidson Street 750 ,"3,10,000",mumbai, 750,2015,petrol,"11,200"
28,Kawasaki,Kawasaki Z800 ,"6,70,000",mumbai,,2015,petrol,"4,200"
29,Kawasaki,Kawasaki Ninja 650 STD ,"7,40,000",mumbai, 650,2022,petrol,"11,284"
30,Harley-Davidson,Harley-Davidson Street 750 ,"3,00,000",mumbai, 750,2014,petrol,"11,000"
31,Benelli,Benelli Leoncino 500cc ,"3,75,000",bangalore, 500cc,2019,petrol,"10,400"
32,Hyosung,Hyosung GT250R ,"1,30,000",hyderabad,,2015,petrol,"13,000"
