Unnamed: 0,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip,Model_Year
0,Royal,Royal Enfield Continental GT 650cc ,295000,mumbai,650cc,2019,petrol,4200,2019
1,Harley-Davidson,Harley-Davidson Street 750 ,320000,hyderabad,750cc,2015,petrol,35900,2015
2,Royal,Royal Enfield Interceptor 650cc ,310000,hyderabad,650cc,2022,petrol,7050,2022
3,BMW,BMW G310 RR Standard ,310000,hyderabad,650cc,2023,petrol,6900,2023
4,Royal,Royal Enfield Continental GT 650cc ,340000,mumbai,650cc,2020,petrol,13000,2020
5,Benelli,Benelli TNT 300 ,235000,bangalore,300cc,2018,petrol,10200,2018
6,BMW,BMW F900R ,850000,mumbai,650cc,2020,petrol,12700,2020
7,BMW,BMW F900XR ,1050000,mumbai,650cc,2020,petrol,8094,2020
8,Benelli,Benelli 302R 300CC ,290000,mumbai,302cc,2019,petrol,2455,2019
9,Harley-Davidson,Harley-Davidson Street 750 ABS ,452000,bangalore,750cc,2020,petrol,1549,2020
10,Triumph,Triumph Speed 400 STD ,284000,bangalore,400cc,2023,petrol,2300,2023
11,Kawasaki,Kawasaki Ninja 300 BS6 ,358000,mumbai,300cc,2021,petrol,8800,2021
12,Royal,Royal Enfield Continental GT 650cc ,310000,mumbai,650cc,2019,petrol,5100,2019
13,Kawasaki,Kawasaki Versys 650cc ,655000,mumbai,650cc,2019,petrol,2900,2019
14,Kawasaki,Kawasaki Ninja 650cc ,595000,mumbai,650cc,2020,petrol,375,2020
15,Royal,Royal Enfield Continental GT 650cc ,375000,mumbai,650cc,2022,petrol,13000,2022
16,Royal,Royal Enfield Continental GT 650cc ,280000,bangalore,650cc,2019,petrol,3000,2019
17,Royal,Royal Enfield Continental GT 650cc ,372000,mumbai,650cc,2022,petrol,6200,2022
18,BMW,BMW G 310 R BS6 ,287000,mumbai,310cc,2021,petrol,5400,2021
19,Royal,Royal Enfield Interceptor 650cc ,355000,mumbai,650cc,2022,petrol,2900,2022
20,Harley-Davidson,Harley-Davidson Street Rod ,1090000,mumbai,650cc,2019,petrol,14236,2019
21,Royal,Royal Enfield Continental GT 650cc ,302000,hyderabad,650cc,2022,petrol,4000,2022
22,Royal,Royal Enfield Interceptor 650cc BS6 ,320000,bangalore,650cc,2021,petrol,25569,2021
23,Benelli,Benelli TNT 300 ABS ,262000,bangalore,300cc,2019,petrol,14000,2019
24,Kawasaki,Kawasaki Ninja 1000 ,940000,,100cc,2019,petrol,7900,2019
25,Harley-Davidson,Harley-Davidson Superlow ,360000,mumbai,650cc,2012,petrol,13500,2012
26,Royal,Royal Enfield Interceptor 650cc ,280000,mumbai,650cc,2019,petrol,5600,2019
27,Harley-Davidson,Harley-Davidson Street 750 ,310000,mumbai,750cc,2015,petrol,11200,2015
28,Kawasaki,Kawasaki Z800 ,670000,mumbai,650cc,2015,petrol,4200,2015
29,Kawasaki,Kawasaki Ninja 650 STD ,740000,mumbai,650cc,2022,petrol,11284,2022
30,Harley-Davidson,Harley-Davidson Street 750 ,300000,mumbai,750cc,2014,petrol,11000,2014
31,Benelli,Benelli Leoncino 500cc ,375000,bangalore,500cc,2019,petrol,10400,2019
32,Hyosung,Hyosung GT250R ,130000,hyderabad,650cc,2015,petrol,13000,2015
33,Royal,Royal Enfield Interceptor 650cc BS6 ,285000,bangalore,650cc,2020,petrol,4700,2020
34,Royal,Royal Enfield Interceptor 650cc ,359000,bangalore,650cc,2023,petrol,20100,2023
35,Royal,Royal Enfield Continental GT 650cc ,312000,mumbai,650cc,2022,petrol,5000,2022
36,Harley-Davidson,Harley-Davidson XL 1200 STD ,830000,mumbai,120cc,2020,petrol,6000,2020
